name,artist,album,albumType,id,explict
Labyrinth,Taylor Swift,Midnights,album,0A1JLUlkZkp2EFrosoNQi0,False
Getaway Car,Taylor Swift,reputation,album,0VE4kBnHJUgtMf0dy6DRmW,False
Alone Again,The Weeknd,After Hours,album,6b5P51m8xx2XA6U7sdNZ5E,True
Straight Into The Fire,Zedd,True Colors,album,1Aw0wPIW70GsV9KoD8m7Ps,False
Born Again,Bebe Rexha,Bebe,album,29y1cN7e9sTX0gBx4y7OCv,False
Seasons,Bebe Rexha,Bebe,album,3HCPcK7bCPAczLUfRmZEUn,False
I Am,Bebe Rexha,Bebe,album,3Khgm6HFzZigZHLADXYdwi,False
raindrops (an angel cried),Ariana Grande,Sweetener,album,0v2LUO8oTHnkjQ8MmKuXyk,False
Love song,Lana Del Rey,Norman Fucking Rockwell!,album,5tyMJlMqaggzvuX7TtlrTe,True
Bartender,Lana Del Rey,Norman Fucking Rockwell!,album,5USsRaiqL1RNKRm1fTJ3JM,False
The Next Best American Record,Lana Del Rey,Norman Fucking Rockwell!,album,7vRfxLcDDwgYW2WTrtEgUV,False
You Are In Love,Taylor Swift,1989 (Deluxe),album,2KrOAg6FftbjgSKdd2a4rS,False
TUNNEL VISION,Melanie Martinez,PORTALS,album,183WuVX0zsr0dHydHkKtGQ,True
BATTLE OF THE LARYNX,Melanie Martinez,PORTALS,album,3jBJbxZSaVkaHRrUqEZ1eb,False
EVIL,Melanie Martinez,PORTALS,album,6UW10CbMTvqciT3X3Ldeox,True
The Bakery,Melanie Martinez,K-12 (After School – Deluxe Edition),album,5xlntPcXIDzcpHZjpQKcU2,True
I Wanna Be Yours,Arctic Monkeys,AM,album,5XeFesFbtLpXzIVDNQP22n,False
THE CONTORTIONIST,Melanie Martinez,PORTALS,album,19SwuhO0bMiAcg2kyJydmj,True
Mary On A Cross,Ghost,Seven Inches of Satanic Panic,single,2wBnZdVWa5jVpvYRfGU7rP,False
The greatest,Lana Del Rey,Norman Fucking Rockwell!,album,6ERZ30cRjVWGtVLhczX9aL,True
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,HEROES & VILLAINS,album,2dHHgzDwk4BJdRwy9uXhTO,True
Start Me Up - Remastered 2009,The Rolling Stones,Tattoo You (2009 Re-Mastered),album,7HKez549fwJQDzx3zLjHKC,False
Lonely (with benny blanco),Justin Bieber,Justice,album,3S8jK1mGzQi24ilFb45DAZ,True
Stand Up (from Harriet),Cynthia Erivo,Harriet (Original Motion Picture Soundtrack),album,1yN1osHj0NlRJlWx5V3LLW,False
Con La Brisa - Film Version,Foudeqush,Black Panther: Wakanda Forever (Original Score),album,2vthaS3SkgTfe5vrpVgITG,False
Try,P!nk,The Truth About Love,album,1jF7IL57ayN4Ity3jQqGu0,False
Carousel,Melanie Martinez,Cry Baby (Deluxe Edition),album,5nHTLEJ10zaqdnKqLriah4,False
Popular Song,MIKA,Yours Truly,album,6AviHKu3ydzAePBmzEi62v,False
Ferrari,Bebe Rexha,Expectations,album,3hfPmifit8Rtc0zj9WYQlU,False
Hands in the Air (feat. Ludacris),Miley Cyrus,Bangerz (Deluxe Version),album,2YlQCqBj6FJsrQmc8K2CGa,True
Wildest Dreams,Taylor Swift,1989,album,3fVnlF4pGqWI9flVENcT28,False
Look What You Made Me Do,Taylor Swift,reputation,album,1P17dC1amhFzptugyAO7Il,False
...Ready For It?,Taylor Swift,reputation,album,2yLa0QULdQr0qAIvVwN6B5,False
Midnight Rain,Taylor Swift,Midnights,album,3rWDp9tBPQR9z6U5YyRSK4,False
Cinnamon Girl,Lana Del Rey,Norman Fucking Rockwell!,album,2mdEsXPu8ZmkHRRtAdC09e,False
Não Te Amo,Jão,PIRATA,album,4NIOFeptzAsbkOUnyBE6FY,False
Legendary Lovers,Katy Perry,PRISM (Deluxe),album,5Uc37Y6FijZcM538PqqkWd,False
Water Under the Bridge,Adele,25,album,4jL6WWKFDqCOPo2hC3VhSS,False
Chasing Thunder,Kesha,High Road,album,0mjSwNInyGTpiEcEaz1qqI,True
Pity Party,Melanie Martinez,Cry Baby (Deluxe Edition),album,3fo6DYGktjENCiagUeU9yH,False
Chromatica III,Lady Gaga,Chromatica,album,6kXRZSe28BawCiEdME8YLk,False
Sacrifice,Bebe Rexha,Better Mistakes,album,5fKTWlpV4hT7ujXV45WbtN,False
I’m to Blame,Tove Lo,Dirt Femme,album,0s2B4EuBvtKZlrCLHDWvy3,False
Cut My Lip,Twenty One Pilots,Trench,album,6gFtgkh8ShkrJn52Cbdhxy,False
Call on Me (with SG Lewis),Tove Lo,Dirt Femme,album,0fX29JTjlyzahgZqbWtor6,False
Unholy (feat. Kim Petras),Sam Smith,Gloria,album,0NZPBYD5qbEWRs3PrGiRkT,False
